,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,gyr_phone_x,gyr_phone_y,gyr_phone_z,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,labelonLaptop,labelonTable
2020-06-05 12:22:01.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:01.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:02.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:02.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:02.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:02.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:03.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:03.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:03.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:03.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:04.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:04.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:04.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:04.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:05.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:05.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:05.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:05.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:06.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:06.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:06.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:06.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:07.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:07.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:07.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:07.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:08.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:08.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:08.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:08.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:09.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:09.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:09.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:09.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:10.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:10.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:10.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:10.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:11.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:11.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:11.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:11.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:12.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:12.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:12.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:12.753622912,-0.42421946020555185,-0.461539022042654,9.823539308404198,,-0.00017739287542587002,0.00027219115247981043,-0.00010025923777474613,15.5,-16.976350910168918,-24.037702199797298,-39.98270173952703,1006.7129557666667,1,0
2020-06-05 12:22:13.003622912,-0.424452059562262,-0.46050838032065927,9.823412191141234,,-9.169385852496316e-05,0.00022183465647476476,-4.470033814659867e-05,15.0,-17.03096923739508,-24.0026044089725,-39.818638786454414,1006.7342787183096,1,0
2020-06-05 12:22:13.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:13.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:13.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:14.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:14.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:14.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:14.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:15.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:15.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:15.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:22:15.753622912,,,,,,,,,,,,,1,0
